CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
E2_Y1_19,10,0.9819726316337616,5129.0
E1_Y2_41,10,0.9819725746463012,9149.0
E1_Y2_27,10,0.9819687188858902,4095.0
X3_Y3_51,10,0.9819615342459789,691.0
E2_Y3_10,10,0.9819605357874464,1109.0
X3_Y2_53,10,0.9819503382395176,3084.0
C3_Y2_11,10,0.981948937992423,17207.0
E2_Y4_14,10,0.9819417152599472,13510.0
E2_Y3_30,10,0.981938923243388,2278.0
X3_Y5_51,10,0.9819385916223516,781.0
E2_Y2_6,10,0.9819337975415949,10448.0
X3_Y3_51,10,0.9819118187658193,692.0
X3_Y5_41,10,0.981909776167954,731.0
C3_Y2_11,10,0.9819057742630446,17211.0
E2_Y1_19,10,0.9818976342718346,5125.0
E2_Y3_55,10,0.9818951714541317,14601.0
C3_Y3_53,10,0.981885963300484,3611.0
E2_Y1_7,10,0.9818834964142759,11655.0
E2_Y5_32,10,0.9818821839238967,9779.0
E2_Y2_38,10,0.981880636652371,481.0
E2_Y3_55,10,0.9818733432509026,14603.0
C3_Y4_28,10,0.981871750610811,919.0
E1_Y2_18,10,0.9818636845055513,12413.0
C3_Y5_31,10,0.9818538581756243,2290.0
C3_Y4_20,10,0.9818388624500485,1964.0
C3_Y4_20,10,0.9818364408377899,1963.0
C3_Y4_28,10,0.9818350835843895,924.0
C3_Y2_48,10,0.9818343132933166,4238.0
E2_Y3_55,10,0.9818273679193691,14600.0
X3_Y4_51,10,0.9818246280175255,820.0
E2_Y3_30,10,0.9818242341105101,7069.0
E2_Y1_62,10,0.9818232665442336,13833.0
E2_Y4_24,10,0.9818148495918843,19846.0
X3_Y2_57,10,0.9818099031503311,11764.0
E2_Y4_26,10,0.9818091041715643,9931.0
C3_Y5_27,10,0.9818069408526285,1448.0
E2_Y5_17,10,0.9818050246055101,3233.0
E2_Y3_55,10,0.981804712371375,14602.0
E2_Y3_9,10,0.9818005928582746,4653.0
E2_Y5_12,10,0.981798613587169,12335.0
X3_Y2_58,10,0.9817982822405202,3807.0
C3_Y2_35,10,0.9817965126961371,608.0
C3_Y4_20,10,0.9817963408538231,1965.0
E1_Y1_59,10,0.9817944765511106,17067.0
E2_Y1_62,10,0.9817939325730157,13832.0
E2_Y4_24,10,0.9817933093158356,19847.0
X3_Y4_10,10,0.9817891825551187,10805.0
E2_Y2_38,10,0.9817844779530958,477.0
C3_Y2_18,10,0.9817766153677223,4118.0
E2_Y4_56,10,0.9817761510850251,3967.0
E1_Y2_47,10,0.9817741986187469,5727.0
E2_Y1_45,10,0.9817724123934914,15648.0
E2_Y5_38,10,0.9817711677146893,508.0
E1_Y1_44,10,0.9817709498793411,12432.0
E2_Y1_45,10,0.9817683025974959,15649.0
E2_Y2_38,10,0.9817651773041134,474.0
E2_Y5_12,10,0.9817638836234751,12336.0
E2_Y5_60,10,0.9817579174346986,5091.0
E2_Y5_60,10,0.9817558637572524,5092.0
E2_Y3_7,10,0.9817535771247566,7033.0
X3_Y1_60,10,0.9817533641337682,5414.0
X3_Y1_60,10,0.9817516698945814,5413.0
E2_Y3_52,10,0.9817471274934608,15766.0
E2_Y1_45,10,0.9817469695597584,15650.0
E2_Y5_17,10,0.9817461653960126,3234.0
E2_Y5_12,10,0.9817459003660017,12337.0
E2_Y1_12,10,0.9817456256094245,7979.0
C3_Y2_11,10,0.9817427896056987,17212.0
E2_Y5_17,10,0.9817420163152858,3232.0
E2_Y5_12,10,0.9817394223024763,12338.0
C3_Y2_35,10,0.9817369039260209,607.0
E2_Y5_60,10,0.9817332359129415,5090.0
X3_Y3_58,10,0.9817265957052838,13103.0
C3_Y1_58,10,0.9817239272955954,340.0
C3_Y1_45,10,0.9817155783535175,10363.0
E2_Y3_43,10,0.981714941187726,10585.0
E2_Y5_17,10,0.9817130472890021,3235.0
E2_Y5_32,10,0.9817074603890066,4306.0
X3_Y5_51,10,0.9817074430268964,782.0
X3_Y1_51,10,0.9817052042324546,477.0
C3_Y1_49,10,0.981701386782226,9829.0
E1_Y1_59,10,0.9816865678000939,17068.0
E2_Y5_60,10,0.9816775545846244,5094.0
C3_Y4_28,10,0.9816678134946163,923.0
E1_Y2_41,10,0.981664409953311,11539.0
C3_Y1_49,10,0.9816638641869663,9830.0
E2_Y2_5,10,0.9816587743164055,1379.0
E2_Y4_56,10,0.9816558242526041,3966.0
E1_Y2_53,10,0.9816437364959912,7388.0
E2_Y5_17,10,0.9816396498620916,3230.0
C3_Y1_49,10,0.9816385698158334,9828.0
E2_Y5_14,10,0.9816382975192826,476.0
E1_Y2_53,10,0.9816382600133399,7389.0
E2_Y2_38,10,0.9816258585560378,475.0
E2_Y2_57,10,0.9816216557710398,5079.0
E2_Y1_35,10,0.9816095920091473,2385.0
C3_Y2_29,10,0.9816076025667783,6353.0
C3_Y2_10,10,0.9816074071271329,11168.0
C3_Y1_49,10,0.9816072443585322,9831.0
C3_Y2_11,10,0.9816055849192589,17209.0
E2_Y5_32,10,0.981600642527288,9788.0
E1_Y1_59,10,0.9816003357714427,17069.0
E2_Y2_46,10,0.9816000108492478,648.0
X3_Y3_51,10,0.9815990330643997,696.0
E2_Y3_55,10,0.9815974580986524,14597.0
E2_Y2_38,10,0.9815943983082066,479.0
E2_Y2_46,10,0.9815928457287008,646.0
E2_Y2_46,10,0.9815878013402457,647.0
E2_Y3_10,10,0.981586779407383,1107.0
C3_Y5_1,10,0.9815768731549792,4048.0
X3_Y4_50,10,0.9815767923147231,13130.0
E2_Y5_32,10,0.9815750455161235,9786.0
E2_Y1_1,10,0.9815749517796516,4197.0
E2_Y3_52,10,0.981567168908599,15767.0
C3_Y2_11,10,0.9815662008219322,17213.0
X3_Y4_50,10,0.9815615292031881,13131.0
E2_Y5_17,10,0.9815568339871124,3228.0
E2_Y4_38,10,0.9815567819386282,688.0
X3_Y2_48,10,0.9815478310753696,462.0
E2_Y5_9,10,0.9815474441794295,15029.0
E2_Y2_38,10,0.9815455824408217,478.0
E2_Y5_60,10,0.9815450427393883,5093.0
E2_Y3_7,10,0.9815338977217076,7034.0
C3_Y1_58,10,0.9815331274874045,337.0
E2_Y5_17,10,0.9815324558812415,3229.0
X3_Y3_48,10,0.981530353343884,8428.0
E2_Y5_32,10,0.9815291142096031,9780.0
E2_Y5_17,10,0.9815247185396029,3231.0
E1_Y1_38,10,0.9815245430734806,2862.0
C3_Y1_58,10,0.9815243161833423,338.0
C3_Y4_28,10,0.9815210156603783,920.0
X3_Y3_29,10,0.9815158516010949,6538.0
C3_Y2_29,10,0.9815086836325941,6354.0
X3_Y2_58,10,0.9815084500341527,3809.0
E2_Y1_58,10,0.9815053528796888,14815.0
E2_Y1_58,10,0.9815045118533918,14816.0
C3_Y2_29,10,0.9814964750981408,6355.0
X3_Y4_34,10,0.9814962494190927,6204.0
E2_Y1_58,10,0.9814900071964174,14818.0
C3_Y4_28,10,0.9814900041876157,922.0
C3_Y5_31,10,0.9814853792620671,2289.0
E2_Y5_60,10,0.9814842774824207,5095.0
E2_Y1_58,10,0.9814804016065624,14817.0
X3_Y3_37,10,0.9814728706989951,7960.0
E2_Y5_32,10,0.9814702484810354,9787.0
C3_Y4_28,10,0.9814695744621543,921.0
X3_Y3_37,10,0.9814686415065584,7957.0
X3_Y2_58,10,0.9814635460914766,3808.0
C3_Y4_20,10,0.9814621095495293,305.0
E2_Y3_43,10,0.9814599120456865,10586.0
E1_Y1_42,10,0.9814557902712542,5975.0
E2_Y1_62,10,0.9814485254250166,13834.0
C3_Y2_11,10,0.9814384594317368,17215.0
C3_Y2_10,10,0.9814350016941549,11167.0
X3_Y3_48,10,0.9814341794681375,8433.0
E2_Y3_51,10,0.9814310175771295,15924.0
C3_Y2_10,10,0.9814269082352928,11170.0
E2_Y1_19,10,0.9814239042779872,5130.0
E2_Y3_51,10,0.981412787531688,15925.0
E2_Y3_52,10,0.9814125182912472,15765.0
X3_Y3_29,10,0.981408840352907,6539.0
X3_Y3_48,10,0.9814078789650817,8432.0
E2_Y5_32,10,0.9814004771142905,9781.0
X3_Y1_51,10,0.9813964180326877,475.0
X3_Y3_37,10,0.9813915524597756,7959.0
X3_Y2_62,10,0.9813905122281006,9034.0
E2_Y1_58,10,0.9813904053304866,14821.0
E2_Y1_32,10,0.9813888770579351,4523.0
E2_Y1_58,10,0.9813836599661568,14823.0
C3_Y5_25,10,0.9813832969513974,13283.0
X3_Y3_41,10,0.981381255015847,1549.0
E2_Y5_9,10,0.9813807970251408,15028.0
C3_Y2_58,10,0.9813771064460489,3593.0
E2_Y1_58,10,0.9813754595623726,14820.0
E2_Y1_62,10,0.9813730957039672,4762.0
E2_Y4_14,10,0.9813715971977365,13502.0
E2_Y1_58,10,0.981368121927735,14822.0
E1_Y1_59,10,0.9813624511219118,17070.0
C3_Y2_10,10,0.9813599735818964,11169.0
C3_Y2_11,10,0.9813570658778593,17214.0
X3_Y1_40,10,0.9813527751469133,7350.0
X3_Y3_4,10,0.9813514906913746,11314.0
X3_Y1_51,10,0.9813501669227199,481.0
X3_Y3_58,10,0.98134863987072,13104.0
X3_Y3_48,10,0.9813421656580824,8430.0
E1_Y2_47,10,0.9813417705778235,5729.0
E2_Y1_58,10,0.9813411002395204,14819.0
E2_Y3_51,10,0.9813400408669466,15922.0
X3_Y3_37,10,0.9813313971001519,7956.0
E2_Y5_32,10,0.9813291610874325,9782.0
E2_Y5_26,10,0.9813275112328012,7356.0
X3_Y1_40,10,0.9813269230593838,7349.0
E2_Y3_55,10,0.9813260845214983,14599.0
